Наименование,"Тип, марка, чертеж",Вес,Цена начальная,Цена без ндс,Цена с ндс,Наша наценка
Мехобработка,0200-0699/000000/3/СХР,"80,00  кг","979,00 ₽","1 174,80 ₽","1 409,76 ₽",
Крышка тяжёлого люка (исп.5),0200-0637/000000/3/СХР,"54,00  кг","5 662,00 ₽","6 794,40 ₽","8 153,28 ₽",
Кольцо неподвижное люка,0200-0566/000000/3/СХР,"84,00  кг","4 948,00 ₽","5 937,60 ₽","7 125,12 ₽",
Замок №1(комплект 2 шт.),0200-0700/010000/СХР,"1,10  кг","1 038,00 ₽","1 245,60 ₽","1 494,72 ₽",
Люк плавающий с замков.устройст.,,"217,1","15 944,00 ₽","19 132,80 ₽","22 959,36 ₽",
Корпус люка,0200-0699/000000/3/СХР,"80,00  кг","4 806,00 ₽","5 767,20 ₽","6 920,64 ₽",
Мехобработка,0200-0699/000000/3/СХР,"80,00  кг","979,00 ₽","1 174,80 ₽","1 409,76 ₽",
Крышка люка,0200-6777/000000/3/СХР,"52,00  кг","3 326,00 ₽","3 991,20 ₽","4 789,44 ₽",
Мехобработка,0200-6777/000000/3/СХР,"52,00  кг","847,00 ₽","1 016,40 ₽","1 219,68 ₽",
Кольцо неподвижное люка,0200-0566/000000/3/СХР,"84,00  кг","4 948,00 ₽","5 937,60 ₽","7 125,12 ₽",
Замок №1(комплект 2 шт.),0200-0700/010000/СХР,"1,10  кг","1 038,00 ₽","1 245,60 ₽","1 494,72 ₽",
Люк тяжёлый с замковым устройств.,,"111,10  кг","10 282,00 ₽","12 338,40 ₽","14 806,08 ₽",
Корпус люка тяж.,0009-6708/000000-01/3/СХР,"56,00  кг","3 582,00 ₽","4 298,40 ₽","5 158,08 ₽",
Крышка тяжелого люка(исп.5),0200-0637/000000/3/СХР,"54,00  кг","5 662,00 ₽","6 794,40 ₽","8 153,28 ₽",
Замок №1(комплект 2 шт.),0200-0700/010000/СХР,"1,10  кг","1 038,00 ₽","1 245,60 ₽","1 494,72 ₽",
Люк тяжёлый с замковым устройств.,,"109,10  кг","8 925,00 ₽","10 710,00 ₽","12 852,00 ₽",
Корпус люка,0009-6708/000000-01/3/СХР,"56,00  кг","3 582,00 ₽","4 298,40 ₽","5 158,08 ₽",
Мехобработка,0009-6708/000000-01/3/СХР,"56,00  кг","979,00 ₽","1 174,80 ₽","1 409,76 ₽",
Крышка люка,0009-6777/000000/3/СХР,"52,00  кг","3 326,00 ₽","3 991,20 ₽","4 789,44 ₽",
Замок №1(комплект 2 шт.),0200-0700/010000/СХР,"1,10  кг","1 038,00 ₽","1 245,60 ₽","1 494,72 ₽",
Люк сверхтяжёлый,,"132,00  кг","15 903,00 ₽","19 083,60 ₽","22 900,32 ₽",
Корпус люка,0009-6708/000000-01/СХР,"56,00  кг","3 582,00 ₽","4 298,40 ₽","5 158,08 ₽",
Мехобработка,0009-6708/000000-01/СХР,"56,00  кг","979,00 ₽","1 174,80 ₽","1 409,76 ₽",
Крышка люка,0200-0620/000000 ВЧ/СХР,"76,00  кг","10 363,00 ₽","12 435,60 ₽","14 922,72 ₽",
Мехобработка,0200-0620/000000 ВЧ/СХР,"76,00  кг","979,00 ₽","1 174,80 ₽","1 409,76 ₽",
Люк телефон.В125 с запорн.устр.,,"88,80  кг","7 775,00 ₽","9 330,00 ₽","11 196,00 ₽",
Корпус люка,0200-0701/000001/СХР,"39,40  кг","2 701,00 ₽","3 241,20 ₽","3 889,44 ₽",
Крышка люка,0200-0701/000002/СХР,"47,00  кг","3 232,00 ₽","3 878,40 ₽","4 654,08 ₽",
Замок №2(комплект 2 шт.),0200-0701/010000/СХР,"0,67  кг","744,00 ₽","892,80 ₽","1 071,36 ₽",
Ключ для крышки люка,0307-6832/000000/СХР,"1,70  кг","1 098,00 ₽","1 317,60 ₽","1 581,12 ₽",
Дождеприемник ДМ-2,,"74,60  кг","5 438,00 ₽","6 525,60 ₽","7 830,72 ₽",
Корпус дождеприемника (люка),0200-0593/000000/К/СХР,"45,00  кг","3 280,00 ₽","3 936,00 ₽","4 723,20 ₽",
Решетка дождеприемника (люка),0200-0594/000000/К/СХР,"29,60  кг","2 158,00 ₽","2 589,60 ₽","3 107,52 ₽",
Решетка ДМ-2 ВЧ ШГ,0200-1159/000000/СХР,"32,50  кг","4 281,00 ₽","5 137,20 ₽","6 164,64 ₽",
Кольцо неподвижное ,0200-1103/000000/СХР,"58,00  кг","3 585,00 ₽","4 302,00 ₽","5 162,40 ₽",
Решётка (люка),0009-6756/000000 ВЧ/СХР,"45,20  кг","6 228,00 ₽","7 473,60 ₽","8 968,32 ₽",
Мехобработка,0009-6756/000000 ВЧ/СХР,"45,20  кг","817,00 ₽","980,40 ₽","1 176,48 ₽",
Крышка лёгкого люка,538/000000/СХР,"37,20  кг","3 990,00 ₽","4 788,00 ₽","5 745,60 ₽",
Крышка люка,0200-0637/000000 ВЧ/СХР,"54,00  кг","7 365,00 ₽","8 838,00 ₽","10 605,60 ₽",
Мехобработка,0200-0637/000000 ВЧ/СХР,"54,00  кг","979,00 ₽","1 174,80 ₽","1 409,76 ₽",
Решётка дождеприемника(люк),Л-1/СХР,"54,50  кг","5 847,00 ₽","7 016,40 ₽","8 419,68 ₽",
Решётка(люка),0009-6792/000000/СХР,"6,02  кг","648,00 ₽","777,60 ₽","933,12 ₽",
Решётка(люка),ЛЛКШ00/3/СХР,"10,50  кг","1 113,00 ₽","1 335,60 ₽","1 602,72 ₽",
Решётка (люка),РК.00.001/СХР,"6,30  кг","670,00 ₽","804,00 ₽","964,80 ₽",
Решётка прямая (люка),750Х200Д5 ВЧ50/СХР,"13,70  кг","1 803,00 ₽","2 163,60 ₽","2 596,32 ₽",
Решётка прямая (люка),750Х200Д5 СЧ20/СХР,"13,70  кг","1 453,00 ₽","1 743,60 ₽","2 092,32 ₽",
Решётка прямая (люка),750Х250Д6 ВЧ50/СХР,"19,50  кг","2 566,00 ₽","3 079,20 ₽","3 695,04 ₽",
Решётка прямая (люка),750Х250Д6 СЧ20/СХР,"19,50  кг","2 070,00 ₽","2 484,00 ₽","2 980,80 ₽",
Решётка прямая (люка),750Х300Д7 ВЧ50/СХР,"24,70  кг","3 252,00 ₽","3 902,40 ₽","4 682,88 ₽",
Решётка прямая (люка),750Х300Д7 СЧ20/СХР,"24,70  кг","2 621,00 ₽","3 145,20 ₽","3 774,24 ₽",
Решётка прямая (люка),750Х350Д8 ВЧ50/СХР,"27,30  кг","3 595,00 ₽","4 314,00 ₽","5 176,80 ₽",
Решётка прямая (люка),750Х350Д8 СЧ20/СХР,"27,30  кг","2 896,00 ₽","3 475,20 ₽","4 170,24 ₽",
Решётка прямая (люка),750Х400Д9 ВЧ50/СХР,"34,60  кг","4 556,00 ₽","5 467,20 ₽","6 560,64 ₽",
